"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6328","Simple iframe - Input text in the text editor which is inside an iframe","firefox","Sat Jan 04 19:47:21 IST 2025","failed","Sat Jan 04 19:47:27 IST 2025","Example to demonstrate testing of simple and nested iframes in Playwright","IFrameDemo.spec.js","",""
"","5051","Capture screenshot of the visible window","chromium","Sat Jan 04 19:43:20 IST 2025","passed","Sat Jan 04 19:43:25 IST 2025","Example to demonstrate File Upload in Playwright","ScreenShotsDemo.spec.js","",""
"","4905","Handling JS Confirm - Validate Confirm Text and Click Cancel","chromium","Sat Jan 04 19:39:53 IST 2025","passed","Sat Jan 04 19:39:58 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","6497","Handling JS Confirm - Validate Confirm Text and Click Cancel","webkit","Sat Jan 04 19:52:18 IST 2025","passed","Sat Jan 04 19:52:24 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","jsAlertConfirmPrompt.spec.js","",""
"","7961","Simple iframe - Input text in the text editor which is inside an iframe","chromium","Sat Jan 04 19:40:09 IST 2025","failed","Sat Jan 04 19:40:17 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","5191","PlayWright Locators Test","chromium","Sat Jan 04 19:42:46 IST 2025","failed","Sat Jan 04 19:42:52 IST 2025","","LocatorsDemo.spec.js","",""
"","9107","Capture screenshot of the visible window","firefox","Sat Jan 04 19:44:16 IST 2025","passed","Sat Jan 04 19:44:25 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","6622","Capture screenshot of an element","webkit","Sat Jan 04 19:53:24 IST 2025","passed","Sat Jan 04 19:53:31 IST 2025","Example to demonstrate File Upload in Playwright","ScreenShotsDemo.spec.js","",""
"","15135","PopUps Demo Playwright","webkit","Sat Jan 04 19:53:09 IST 2025","passed","Sat Jan 04 19:53:24 IST 2025","","PopupsDemo1.spec.js","",""
"","30236","Upload files for non-input element and assert","firefox","Sat Jan 04 19:45:53 IST 2025","broken","Sat Jan 04 19:46:23 IST 2025","Demonstrate File upload in Playwright","FileUpload.spec.js","",""
"","39263","Role Test","chromium","Sat Jan 04 19:42:42 IST 2025","broken","Sat Jan 04 19:43:21 IST 2025","","LocatorsBuildIn.spec.js","",""
"","15008","Handling Popups","firefox","Sat Jan 04 19:48:15 IST 2025","passed","Sat Jan 04 19:48:30 IST 2025","","PopupsDemo.spec.js","",""
"","5247","Handling JS Alert - Validate Alert Text and Click OK","chromium","Sat Jan 04 19:42:29 IST 2025","passed","Sat Jan 04 19:42:34 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","jsAlertConfirmPrompt.spec.js","",""
"","10905","Count the total number of images and assert","webkit","Sat Jan 04 19:51:52 IST 2025","failed","Sat Jan 04 19:52:03 IST 2025","Example to demonstrate execution of HTML Document methods in Playwright","htmlDocumentMethod.spec.js","",""
"","12091","Simple iframe - Input text in the text editor which is inside an iframe","webkit","Sat Jan 04 19:49:36 IST 2025","failed","Sat Jan 04 19:49:48 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","16806","Automatically Capture screenshot when Test Fails","webkit","Sat Jan 04 19:53:28 IST 2025","failed","Sat Jan 04 19:53:45 IST 2025","Example to demonstrate File Upload in Playwright","ScreenShotsDemo.spec.js","",""
"","16286","Automatically Capture screenshot when Test Fails","webkit","Sat Jan 04 19:49:33 IST 2025","failed","Sat Jan 04 19:49:50 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","5504","Extract innerText and assert","chromium","Sat Jan 04 19:42:06 IST 2025","passed","Sat Jan 04 19:42:11 IST 2025","Example to demonstrate execution of HTML Document methods in Playwright","htmlDocumentMethod.spec.js","",""
"","9066","Upload Multiple files and assert","chromium","Sat Jan 04 19:41:13 IST 2025","passed","Sat Jan 04 19:41:22 IST 2025","Demonstrate File upload in Playwright","FileUpload.spec.js","",""
"","7730","AltText Test","webkit","Sat Jan 04 19:52:26 IST 2025","passed","Sat Jan 04 19:52:34 IST 2025","","LocatorsBuildIn.spec.js","",""
"","13126","Automatically Capture screenshot when Test Fails","firefox","Sat Jan 04 19:44:26 IST 2025","failed","Sat Jan 04 19:44:39 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","11278","Get the Tag Name and assert","firefox","Sat Jan 04 19:47:14 IST 2025","passed","Sat Jan 04 19:47:26 IST 2025","Example to demonstrate execution of HTML Document methods in Playwright","htmlDocumentMethod.spec.js","",""
"","7946","Handling JS Alert - Validate Alert Text and Click OK","webkit","Sat Jan 04 19:52:10 IST 2025","passed","Sat Jan 04 19:52:18 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","jsAlertConfirmPrompt.spec.js","",""
"","5732","Capture screenshot of an element","firefox","Sat Jan 04 19:48:46 IST 2025","passed","Sat Jan 04 19:48:52 IST 2025","Example to demonstrate File Upload in Playwright","ScreenShotsDemo.spec.js","",""
"","7033","Validate page title and URL","webkit","Sat Jan 04 19:51:34 IST 2025","failed","Sat Jan 04 19:51:42 IST 2025","","HomeTest.spec.js","",""
"","6315","Nested iframe - Assert texts from each iframes","chromium","Sat Jan 04 19:40:20 IST 2025","passed","Sat Jan 04 19:40:26 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","10763","PopUps Demo Playwright","firefox","Sat Jan 04 19:48:33 IST 2025","passed","Sat Jan 04 19:48:44 IST 2025","","PopupsDemo1.spec.js","",""
"","4860","Handling JS Confirm - Validate Confirm Text and Click OK","chromium","Sat Jan 04 19:39:49 IST 2025","passed","Sat Jan 04 19:39:53 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","15042","Upload a Single file and assert","firefox","Sat Jan 04 19:45:20 IST 2025","passed","Sat Jan 04 19:45:35 IST 2025","Demonstrate File upload in Playwright","FileUpload.spec.js","",""
"","7810","Validate page title and URL","webkit","Sat Jan 04 19:51:44 IST 2025","passed","Sat Jan 04 19:51:51 IST 2025","","HomeTest1.spec.js","",""
"","6388","Handling JS Prompt - Input text in prompt, Click OK and Validate Input Text","webkit","Sat Jan 04 19:49:08 IST 2025","passed","Sat Jan 04 19:49:14 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","AlertsDemo.spec.js","",""
"","5256","Handling JS Alert - Validate Alert Text and Click OK","chromium","Sat Jan 04 19:39:48 IST 2025","passed","Sat Jan 04 19:39:53 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","6218","Handling JS Alert - Validate Alert Text and Click OK","webkit","Sat Jan 04 19:49:10 IST 2025","passed","Sat Jan 04 19:49:16 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","17111","Upload a Single file and assert","chromium","Sat Jan 04 19:40:55 IST 2025","passed","Sat Jan 04 19:41:12 IST 2025","Demonstrate File upload in Playwright","FileUpload.spec.js","",""
"","5354","Handling JS Confirm - Validate Confirm Text and Click Cancel","chromium","Sat Jan 04 19:39:43 IST 2025","passed","Sat Jan 04 19:39:48 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","AlertsDemo.spec.js","",""
"","5280","Handling JS Prompt - Input text in prompt, Click OK and Validate Input Text","chromium","Sat Jan 04 19:42:34 IST 2025","passed","Sat Jan 04 19:42:40 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","jsAlertConfirmPrompt.spec.js","",""
"","5289","Capture screenshot of the visible window","chromium","Sat Jan 04 19:39:58 IST 2025","passed","Sat Jan 04 19:40:04 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","12407","Remove all selected Files","webkit","Sat Jan 04 19:50:58 IST 2025","passed","Sat Jan 04 19:51:10 IST 2025","Demonstrate File upload in Playwright","FileUpload.spec.js","",""
"","22615","Handling Popups","webkit","Sat Jan 04 19:52:53 IST 2025","passed","Sat Jan 04 19:53:15 IST 2025","","PopupsDemo.spec.js","",""
"","6410","Capture screenshot of the entire scrollable webpage","chromium","Sat Jan 04 19:43:25 IST 2025","passed","Sat Jan 04 19:43:32 IST 2025","Example to demonstrate File Upload in Playwright","ScreenShotsDemo.spec.js","",""
"","14477","Handling JS Confirm - Validate Confirm Text and Click OK","firefox","Sat Jan 04 19:43:50 IST 2025","passed","Sat Jan 04 19:44:05 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","AlertsDemo.spec.js","",""
"","6807","Capture screenshot of the entire scrollable webpage","webkit","Sat Jan 04 19:49:27 IST 2025","passed","Sat Jan 04 19:49:33 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","6993","Get the Tag Name and assert","chromium","Sat Jan 04 19:42:19 IST 2025","passed","Sat Jan 04 19:42:26 IST 2025","Example to demonstrate execution of HTML Document methods in Playwright","htmlDocumentMethod.spec.js","",""
"","6886","Capture screenshot of the visible window","webkit","Sat Jan 04 19:49:22 IST 2025","passed","Sat Jan 04 19:49:29 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","8321","Download a Single file and assert","chromium","Sat Jan 04 19:40:32 IST 2025","passed","Sat Jan 04 19:40:40 IST 2025","Example to demonstrate File Download in Playwright","FileDownloading.spec.js","",""
"","8130","Upload Multiple files and assert","firefox","Sat Jan 04 19:45:35 IST 2025","passed","Sat Jan 04 19:45:43 IST 2025","Demonstrate File upload in Playwright","FileUpload.spec.js","",""
"","21151","Assertions in Playwright","firefox","Sat Jan 04 19:44:50 IST 2025","failed","Sat Jan 04 19:45:11 IST 2025","","Assertions.spec.js","",""
"","10692","Remove all selected Files","chromium","Sat Jan 04 19:41:22 IST 2025","passed","Sat Jan 04 19:41:33 IST 2025","Demonstrate File upload in Playwright","FileUpload.spec.js","",""
"","6170","Nested iframe - Assert texts from each iframes","webkit","Sat Jan 04 19:52:04 IST 2025","passed","Sat Jan 04 19:52:10 IST 2025","Example to demonstrate testing of simple and nested iframes in Playwright","IFrameDemo.spec.js","",""
"","5881","Handling JS Confirm - Validate Confirm Text and Click OK","chromium","Sat Jan 04 19:42:29 IST 2025","passed","Sat Jan 04 19:42:34 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","jsAlertConfirmPrompt.spec.js","",""
"","8747","Nested iframe - Assert texts from each iframes","firefox","Sat Jan 04 19:47:36 IST 2025","passed","Sat Jan 04 19:47:45 IST 2025","Example to demonstrate testing of simple and nested iframes in Playwright","IFrameDemo.spec.js","",""
"","2760","AltText Test","chromium","Sat Jan 04 19:42:39 IST 2025","passed","Sat Jan 04 19:42:42 IST 2025","","LocatorsBuildIn.spec.js","",""
"","5639","Capture screenshot of an element","chromium","Sat Jan 04 19:40:04 IST 2025","passed","Sat Jan 04 19:40:09 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","9090","Simple iframe - Input text in the text editor which is inside an iframe","webkit","Sat Jan 04 19:52:06 IST 2025","failed","Sat Jan 04 19:52:15 IST 2025","Example to demonstrate testing of simple and nested iframes in Playwright","IFrameDemo.spec.js","",""
"","5059","Handling JS Alert - Validate Alert Text and Click OK","firefox","Sat Jan 04 19:47:33 IST 2025","passed","Sat Jan 04 19:47:38 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","jsAlertConfirmPrompt.spec.js","",""
"","31406","Role Test","webkit","Sat Jan 04 19:52:34 IST 2025","broken","Sat Jan 04 19:53:06 IST 2025","","LocatorsBuildIn.spec.js","",""
"","5695","Handling JS Prompt - Input text in prompt, Click OK and Validate Input Text","firefox","Sat Jan 04 19:43:54 IST 2025","passed","Sat Jan 04 19:44:00 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","AlertsDemo.spec.js","",""
"","4809","Handling JS Prompt - Input text in prompt, Click OK and Validate Input Text","chromium","Sat Jan 04 19:39:53 IST 2025","passed","Sat Jan 04 19:39:58 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","2330","has title","chromium","Sat Jan 04 19:40:27 IST 2025","passed","Sat Jan 04 19:40:29 IST 2025","","example.spec.js","",""
"","4589","has title","webkit","Sat Jan 04 19:50:01 IST 2025","passed","Sat Jan 04 19:50:06 IST 2025","","example.spec.js","",""
"","6019","Count the total number of images and assert","firefox","Sat Jan 04 19:46:59 IST 2025","failed","Sat Jan 04 19:47:05 IST 2025","Example to demonstrate execution of HTML Document methods in Playwright","htmlDocumentMethod.spec.js","",""
"","2568","get started link","chromium","Sat Jan 04 19:40:29 IST 2025","passed","Sat Jan 04 19:40:32 IST 2025","","example.spec.js","",""
"","2682","Nested iframe - Assert texts from each iframes","chromium","Sat Jan 04 19:42:26 IST 2025","passed","Sat Jan 04 19:42:28 IST 2025","Example to demonstrate testing of simple and nested iframes in Playwright","IFrameDemo.spec.js","",""
"","7380","Capture screenshot of the entire scrollable webpage","webkit","Sat Jan 04 19:53:21 IST 2025","passed","Sat Jan 04 19:53:28 IST 2025","Example to demonstrate File Upload in Playwright","ScreenShotsDemo.spec.js","",""
"","18640","Handling Popups","chromium","Sat Jan 04 19:42:56 IST 2025","passed","Sat Jan 04 19:43:14 IST 2025","","PopupsDemo.spec.js","",""
"","9743","Remove all selected Files","firefox","Sat Jan 04 19:45:43 IST 2025","passed","Sat Jan 04 19:45:53 IST 2025","Demonstrate File upload in Playwright","FileUpload.spec.js","",""
"","6138","Handling JS Confirm - Validate Confirm Text and Click Cancel","webkit","Sat Jan 04 19:49:16 IST 2025","passed","Sat Jan 04 19:49:22 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","35144","Assertions in Playwright","webkit","Sat Jan 04 19:49:54 IST 2025","broken","Sat Jan 04 19:50:29 IST 2025","","Assertions.spec.js","",""
"","5410","Capture screenshot of the entire scrollable webpage","chromium","Sat Jan 04 19:39:58 IST 2025","passed","Sat Jan 04 19:40:04 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","5749","Handling JS Prompt - Input text in prompt, Click OK and Validate Input Text","chromium","Sat Jan 04 19:39:43 IST 2025","passed","Sat Jan 04 19:39:49 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","AlertsDemo.spec.js","",""
"","6262","get started link","webkit","Sat Jan 04 19:50:06 IST 2025","passed","Sat Jan 04 19:50:12 IST 2025","","example.spec.js","",""
"","6654","Capture screenshot of the entire scrollable webpage","firefox","Sat Jan 04 19:44:19 IST 2025","passed","Sat Jan 04 19:44:26 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","60866","Download Multiple files and assert","webkit","Sat Jan 04 19:50:31 IST 2025","broken","Sat Jan 04 19:51:32 IST 2025","Example to demonstrate File Download in Playwright","FileDownloading.spec.js","",""
"","5323","Handling JS Prompt - Input text in prompt, Click OK and Validate Input Text","firefox","Sat Jan 04 19:44:14 IST 2025","passed","Sat Jan 04 19:44:19 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","5146","Simple iframe - Input text in the text editor which is inside an iframe","chromium","Sat Jan 04 19:42:21 IST 2025","failed","Sat Jan 04 19:42:26 IST 2025","Example to demonstrate testing of simple and nested iframes in Playwright","IFrameDemo.spec.js","",""
"","6868","PlayWright Locators Test","firefox","Sat Jan 04 19:48:03 IST 2025","failed","Sat Jan 04 19:48:10 IST 2025","","LocatorsDemo.spec.js","",""
"","7211","Get the Tag Name and assert","webkit","Sat Jan 04 19:51:56 IST 2025","passed","Sat Jan 04 19:52:04 IST 2025","Example to demonstrate execution of HTML Document methods in Playwright","htmlDocumentMethod.spec.js","",""
"","10006","Nested iframe - Assert texts from each iframes","firefox","Sat Jan 04 19:44:45 IST 2025","passed","Sat Jan 04 19:44:55 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","7473","Capture screenshot of an element","webkit","Sat Jan 04 19:49:29 IST 2025","passed","Sat Jan 04 19:49:36 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","5615","Handling JS Confirm - Validate Confirm Text and Click Cancel","webkit","Sat Jan 04 19:49:02 IST 2025","passed","Sat Jan 04 19:49:08 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","AlertsDemo.spec.js","",""
"","30804","Assertions in Playwright","chromium","Sat Jan 04 19:40:21 IST 2025","broken","Sat Jan 04 19:40:52 IST 2025","","Assertions.spec.js","",""
"","4741","Capture screenshot of an element","chromium","Sat Jan 04 19:43:25 IST 2025","passed","Sat Jan 04 19:43:30 IST 2025","Example to demonstrate File Upload in Playwright","ScreenShotsDemo.spec.js","",""
"","7372","Handling JS Confirm - Validate Confirm Text and Click OK","webkit","Sat Jan 04 19:52:19 IST 2025","passed","Sat Jan 04 19:52:26 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","jsAlertConfirmPrompt.spec.js","",""
"","8847","Handling JS Alert - Validate Alert Text and Click OK","firefox","Sat Jan 04 19:43:36 IST 2025","passed","Sat Jan 04 19:43:45 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","AlertsDemo.spec.js","",""
"","6646","Placeholder Test","chromium","Sat Jan 04 19:42:40 IST 2025","passed","Sat Jan 04 19:42:46 IST 2025","","LocatorsBuildIn.spec.js","",""
"","5166","Handling JS Confirm - Validate Confirm Text and Click OK","firefox","Sat Jan 04 19:47:38 IST 2025","passed","Sat Jan 04 19:47:44 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","jsAlertConfirmPrompt.spec.js","",""
"","6105","Handling JS Confirm - Validate Confirm Text and Click OK","webkit","Sat Jan 04 19:49:03 IST 2025","passed","Sat Jan 04 19:49:09 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","AlertsDemo.spec.js","",""
"","37039","Upload files for non-input element and assert","chromium","Sat Jan 04 19:41:33 IST 2025","broken","Sat Jan 04 19:42:10 IST 2025","Demonstrate File upload in Playwright","FileUpload.spec.js","",""
"","16739","Upload a Single file and assert","webkit","Sat Jan 04 19:50:30 IST 2025","passed","Sat Jan 04 19:50:47 IST 2025","Demonstrate File upload in Playwright","FileUpload.spec.js","",""
"","5807","Handling JS Alert - Validate Alert Text and Click OK","webkit","Sat Jan 04 19:48:56 IST 2025","passed","Sat Jan 04 19:49:02 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","AlertsDemo.spec.js","",""
"","12279","Automatically Capture screenshot when Test Fails","chromium","Sat Jan 04 19:43:30 IST 2025","failed","Sat Jan 04 19:43:42 IST 2025","Example to demonstrate File Upload in Playwright","ScreenShotsDemo.spec.js","",""
"","12039","PlayWright Locators Test","webkit","Sat Jan 04 19:52:41 IST 2025","passed","Sat Jan 04 19:52:53 IST 2025","","LocatorsDemo.spec.js","",""
"","8317","Handling JS Prompt - Input text in prompt, Click OK and Validate Input Text","webkit","Sat Jan 04 19:52:24 IST 2025","passed","Sat Jan 04 19:52:33 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","jsAlertConfirmPrompt.spec.js","",""
"","5561","Handling JS Confirm - Validate Confirm Text and Click Cancel","firefox","Sat Jan 04 19:44:10 IST 2025","passed","Sat Jan 04 19:44:16 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","12013","Automatically Capture screenshot when Test Fails","chromium","Sat Jan 04 19:40:04 IST 2025","failed","Sat Jan 04 19:40:16 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","6233","Handling JS Prompt - Input text in prompt, Click OK and Validate Input Text","firefox","Sat Jan 04 19:47:48 IST 2025","passed","Sat Jan 04 19:47:54 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","jsAlertConfirmPrompt.spec.js","",""
"","10948","Get the current URL and assert","firefox","Sat Jan 04 19:47:03 IST 2025","passed","Sat Jan 04 19:47:14 IST 2025","Example to demonstrate execution of HTML Document methods in Playwright","htmlDocumentMethod.spec.js","",""
"","11152","Automatically Capture screenshot when Test Fails","firefox","Sat Jan 04 19:48:47 IST 2025","failed","Sat Jan 04 19:48:59 IST 2025","Example to demonstrate File Upload in Playwright","ScreenShotsDemo.spec.js","",""
"","9557","Simple iframe - Input text in the text editor which is inside an iframe","firefox","Sat Jan 04 19:44:35 IST 2025","failed","Sat Jan 04 19:44:44 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","8535","Download a Single file and assert","firefox","Sat Jan 04 19:45:12 IST 2025","passed","Sat Jan 04 19:45:20 IST 2025","Example to demonstrate File Download in Playwright","FileDownloading.spec.js","",""
"","5854","Handling JS Prompt - Input text in prompt, Click OK and Validate Input Text","webkit","Sat Jan 04 19:49:21 IST 2025","passed","Sat Jan 04 19:49:27 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","6535","Handling JS Confirm - Validate Confirm Text and Click Cancel","firefox","Sat Jan 04 19:47:44 IST 2025","passed","Sat Jan 04 19:47:50 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","jsAlertConfirmPrompt.spec.js","",""
"","60197","Download Multiple files and assert","firefox","Sat Jan 04 19:45:21 IST 2025","broken","Sat Jan 04 19:46:21 IST 2025","Example to demonstrate File Download in Playwright","FileDownloading.spec.js","",""
"","6198","Capture screenshot of the entire scrollable webpage","firefox","Sat Jan 04 19:48:40 IST 2025","passed","Sat Jan 04 19:48:46 IST 2025","Example to demonstrate File Upload in Playwright","ScreenShotsDemo.spec.js","",""
"","7207","Handling JS Confirm - Validate Confirm Text and Click OK","chromium","Sat Jan 04 19:39:35 IST 2025","passed","Sat Jan 04 19:39:42 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","AlertsDemo.spec.js","",""
"","5407","Capture screenshot of the visible window","firefox","Sat Jan 04 19:48:34 IST 2025","passed","Sat Jan 04 19:48:40 IST 2025","Example to demonstrate File Upload in Playwright","ScreenShotsDemo.spec.js","",""
"","30592","Role Test","firefox","Sat Jan 04 19:47:56 IST 2025","broken","Sat Jan 04 19:48:27 IST 2025","","LocatorsBuildIn.spec.js","",""
"","9584","Capture screenshot of an element","firefox","Sat Jan 04 19:44:25 IST 2025","passed","Sat Jan 04 19:44:35 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
"","5719","get started link","firefox","Sat Jan 04 19:45:06 IST 2025","passed","Sat Jan 04 19:45:11 IST 2025","","example.spec.js","",""
"","5629","PopUps Demo Playwright","chromium","Sat Jan 04 19:43:14 IST 2025","passed","Sat Jan 04 19:43:20 IST 2025","","PopupsDemo1.spec.js","",""
"","73999","Download Multiple files and assert","chromium","Sat Jan 04 19:40:40 IST 2025","broken","Sat Jan 04 19:41:54 IST 2025","Example to demonstrate File Download in Playwright","FileDownloading.spec.js","",""
"","6773","Get the current URL and assert","webkit","Sat Jan 04 19:51:50 IST 2025","passed","Sat Jan 04 19:51:56 IST 2025","Example to demonstrate execution of HTML Document methods in Playwright","htmlDocumentMethod.spec.js","",""
"","7303","Handling JS Alert - Validate Alert Text and Click OK","chromium","Sat Jan 04 19:39:35 IST 2025","passed","Sat Jan 04 19:39:42 IST 2025","Example to demonstrate handling of JavaScript Alert, Confirm, Prompt in Playwright","AlertsDemo.spec.js","",""
"","7216","Handling JS Confirm - Validate Confirm Text and Click OK","firefox","Sat Jan 04 19:44:07 IST 2025","passed","Sat Jan 04 19:44:14 IST 2025","Example to demonstrate File Upload in Playwright","AllureReportsDemo.spec.js","",""
